COLLEGE,DEPT,SSTS,CRN,COURSE,SEC,TITLE,PT TRM,CR,DAYS,TIME,LOCATION,SCD OVR,SD,INSM,IP,INSTRUCTOR,PRIMARY,% RESPONSE,SAPR,FEE,FEE DETL,MAX CAP,TERMS
College of Arts and Sciences,BLY,A,11251,BLY101,105,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13979,BLY101,106,Life Science I,LC1,3.0,MWF,1220  1310,LSLH 0003,O,LE,WE,C,C Delaney Tucker,Y,100,,,,73,0
College of Arts and Sciences,BLY,A,13979,BLY101,106,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13979,BLY101,106,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10732,BLY101,501,Life Science I,1,3.0,T,1800  2030,LSCB 0131,,LE,WE,C,N Hilbun,Y,100,,,,30,0
College of Arts and Sciences,BLY,A,10732,BLY101,501,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10732,BLY101,501,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10280,BLY101L,751,Life Science I Laboratory,1,1.0,M,1325  1505,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10280,BLY101L,751,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10280,BLY101L,751,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10280,BLY101L,751,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10280,BLY101L,751,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10280,BLY101L,751,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10281,BLY101L,752,Life Science I Laboratory,1,1.0,M,1325  1505,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10281,BLY101L,752,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10281,BLY101L,752,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10281,BLY101L,752,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10281,BLY101L,752,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10281,BLY101L,752,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10282,BLY101L,753,Life Science I Laboratory,1,1.0,M,1535  1715,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10282,BLY101L,753,WEB BLENDED SECTION.  This course reduces the on-campus,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10282,BLY101L,753,class time by utilizing electronic learning tools.  Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10282,BLY101L,753,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10282,BLY101L,753,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10282,BLY101L,753,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10283,BLY101L,754,Life Science I Laboratory,LC1,1.0,M,1535  1715,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10283,BLY101L,754,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10283,BLY101L,754,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10283,BLY101L,754,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10283,BLY101L,754,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10283,BLY101L,754,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10284,BLY101L,755,Life Science I Laboratory,LC1,1.0,T,0800  0940,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10284,BLY101L,755,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10284,BLY101L,755,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10284,BLY101L,755,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10284,BLY101L,755,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10284,BLY101L,755,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10285,BLY101L,756,Life Science I Laboratory,1,1.0,T,0800  0940,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10285,BLY101L,756,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10285,BLY101L,756,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10285,BLY101L,756,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10285,BLY101L,756,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10285,BLY101L,756,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10286,BLY101L,757,Life Science I Laboratory,LC1,1.0,T,1000  1140,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,28,0
College of Arts and Sciences,BLY,A,10286,BLY101L,757,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10286,BLY101L,757,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10286,BLY101L,757,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10286,BLY101L,757,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10286,BLY101L,757,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10287,BLY101L,758,Life Science I Laboratory,LC1,1.0,T,1000  1140,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,28,0
College of Arts and Sciences,BLY,A,10287,BLY101L,758,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10287,BLY101L,758,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10287,BLY101L,758,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10287,BLY101L,758,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10287,BLY101L,758,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10288,BLY101L,759,Life Science I Laboratory,1,1.0,T,1400  1540,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10288,BLY101L,759,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10288,BLY101L,759,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10288,BLY101L,759,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10288,BLY101L,759,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10288,BLY101L,759,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10289,BLY101L,760,Life Science I Laboratory,1,1.0,T,1400  1540,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10289,BLY101L,760,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10289,BLY101L,760,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10289,BLY101L,760,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10289,BLY101L,760,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10289,BLY101L,760,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10290,BLY101L,761,Life Science I Laboratory,1,1.0,T,1600  1740,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10290,BLY101L,761,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10290,BLY101L,761,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10290,BLY101L,761,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10290,BLY101L,761,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10290,BLY101L,761,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10291,BLY101L,762,Life Science I Laboratory,LC1,1.0,T,1600  1740,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,28,0
College of Arts and Sciences,BLY,A,10291,BLY101L,762,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10291,BLY101L,762,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10291,BLY101L,762,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10291,BLY101L,762,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10291,BLY101L,762,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10702,BLY101L,763,Life Science I Laboratory,1,1.0,W,0800  0940,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10702,BLY101L,763,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10702,BLY101L,763,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10702,BLY101L,763,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10702,BLY101L,763,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10702,BLY101L,763,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,11062,BLY101L,764,Life Science I Laboratory,1,1.0,W,0800  0940,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,11062,BLY101L,764,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11062,BLY101L,764,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11062,BLY101L,764,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,11062,BLY101L,764,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,11062,BLY101L,764,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,11063,BLY101L,765,Life Science I Laboratory,1,1.0,W,1220  1400,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,11063,BLY101L,765,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11063,BLY101L,765,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11063,BLY101L,765,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,11063,BLY101L,765,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,11063,BLY101L,765,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,11065,BLY101L,767,Life Science I Laboratory,1,1.0,W,1430  1610,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,11065,BLY101L,767,WEB BLENDED SECTION.  This course reduces the on-campus,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11065,BLY101L,767,class time by utilizing electronic learning tools.  Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11065,BLY101L,767,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,11065,BLY101L,767,be at the scheduled times.  USAonline courses are offered,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,11065,BLY101L,767,in Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10550,BLY101L,768,Life Science I Laboratory,LC1,1.0,W,1430  1610,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10550,BLY101L,768,WEB BLENDED SECTION.  This course reduces the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10550,BLY101L,768,on-campus class time by utilizing electronic learning tools.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10550,BLY101L,768,Requires an additional fee of $35.00.  On-campus class,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10550,BLY101L,768,meetings will be at the scheduled times.  USAonline courses,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10550,BLY101L,768,are offered in Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10556,BLY101L,769,Life Science I Laboratory,LC1,1.0,R,0800  0940,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10556,BLY101L,769,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10556,BLY101L,769,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10556,BLY101L,769,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10556,BLY101L,769,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10556,BLY101L,769,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10701,BLY101L,770,Life Science I Laboratory,LC1,1.0,R,0800  0940,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10701,BLY101L,770,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10701,BLY101L,770,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10701,BLY101L,770,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10701,BLY101L,770,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10701,BLY101L,770,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,13382,BLY101L,771,Life Science I Laboratory,LC1,1.0,R,1000  1140,LSCB 0144,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,28,0
College of Arts and Sciences,BLY,A,13382,BLY101L,771,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13382,BLY101L,771,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13382,BLY101L,771,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,13382,BLY101L,771,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,13382,BLY101L,771,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,13383,BLY101L,772,Life Science I Laboratory,LC1,1.0,R,1000  1140,LSCB 0142,,BB,WB,C,C Delaney Tucker,Y,100,,15.00,EBLY,28,0
College of Arts and Sciences,BLY,A,13383,BLY101L,772,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13383,BLY101L,772,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13383,BLY101L,772,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,13383,BLY101L,772,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,13383,BLY101L,772,Canvas.,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10632,BLY102,101,Life Science II,1,3.0,MWF,0905  0955,LSLH 0003,,LE,WE,C,C Delaney Tucker,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,10632,BLY102,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10632,BLY102,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10292,BLY102,501,Life Science II,1,3.0,M,1800  2030,LSCB 0131,,LE,WE,C,S Delchamps,Y,100,,,,35,0
College of Arts and Sciences,BLY,A,10292,BLY102,501,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10292,BLY102,501,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10548,BLY102L,101,Life Science II Lab,1,1.0,T,0930  1110,LSCB 0045,,BE,WE,C,J Howell,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10548,BLY102L,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10548,BLY102L,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10633,BLY102L,102,Life Science II Lab,1,1.0,W,1010  1150,LSCB 0045,,BE,WE,C,J Howell,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10633,BLY102L,102,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10633,BLY102L,102,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10634,BLY102L,103,Life Science II Lab,1,1.0,W,1220  1400,LSCB 0045,,BE,WE,C,J Howell,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10634,BLY102L,103,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10634,BLY102L,103,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10733,BLY102L,104,Life Science II Lab,1,1.0,R,0930  1110,LSCB 0045,,BE,WE,C,J Howell,Y,100,,15.00,EBLY,0,0
College of Arts and Sciences,BLY,A,10733,BLY102L,104,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10733,BLY102L,104,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10293,BLY102L,501,Life Science II Lab,1,1.0,W,1800  1940,LSCB 0045,,BE,WE,C,J Howell,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10293,BLY102L,501,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10293,BLY102L,501,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10294,BLY121,101,General Biology I,1,3.0,TR,1230  1345,LSLH 0003,,LE,WE,C,A Chupp,Y,100,,,,135,0
College of Arts and Sciences,BLY,A,10294,BLY121,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10294,BLY121,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10295,BLY121,102,General Biology I,1,3.0,TR,1100  1215,LSLH 0003,,LE,WE,C,A Chupp,Y,100,,,,8,0
College of Arts and Sciences,BLY,A,10295,BLY121,102,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10295,BLY121,102,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13980,BLY121,103,General Biology I,LC1,3.0,TR,1100  1215,LSLH 0003,O,LE,WE,C,A Chupp,Y,100,,,,140,0
College of Arts and Sciences,BLY,A,13980,BLY121,103,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13980,BLY121,103,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10618,BLY121,501,General Biology I,1,3.0,M,1800  2030,LSLH 0003,,LE,WE,C,R Adlington,Y,100,,,,135,0
College of Arts and Sciences,BLY,A,10618,BLY121,501,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10618,BLY121,501,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10296,BLY121L,101,General Biology I Lab,LC1,1.0,T,0800  1030,LSCB 0225,,BE,WE,C,A Chupp,Y,100,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10296,BLY121L,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10296,BLY121L,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10298,BLY121L,103,General Biology I Lab,LC1,1.0,T,1400  1630,LSCB 0225,,BE,WE,C,A Chupp,Y,100,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10298,BLY121L,103,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10298,BLY121L,103,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10299,BLY121L,104,General Biology I Lab,LC1,1.0,W,0800  1030,LSCB 0225,,BE,WE,C,A Chupp,Y,100,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10299,BLY121L,104,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10299,BLY121L,104,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10305,BLY121L,105,General Biology I Lab -H,1,1.0,W,1430  1700,LSCB 0225,,BE,WE,C,J Mata,Y,100,,38.00,EBLY,18,0
College of Arts and Sciences,BLY,A,10305,BLY121L,105,Restricted to Honors students only.  Other students,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10305,BLY121L,105,require special permission.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10305,BLY121L,105,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10305,BLY121L,105,scheduled times.,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10300,BLY121L,106,General Biology I Lab,1,1.0,W,1115  1345,LSCB 0225,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
